image,idx,x,y,r_disk,radial_mm,otsu_mean,otsu_med,otsu_p75,otsu_p90,ws_mean,ws_med,ws_p75,ws_p90,ws_effect,contrast_sigma,stat_mean,stat_med,stat_p75,stat_p90,gm_mm,gm_bio_mm,gm_w,gm_r2,fusion_source,radial_pre_mm,gt_halo,gt_num
gt_06.jpg,7,736.0,1497.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38,-2.67,0.0,0.0,0.0,0.0,0.0,0.0,20.71,0.73,-,0.0,,4
gt_06.jpg,8,1023.0,677.0,45.0,13.13,10.03,11.11,12.24,13.13,0.0,0.0,0.0,0.0,-0.53,-4.68,0.0,0.0,0.0,0.0,0.0,0.0,2.24,0.7,otsu,16.22,29.0,1
gt_06.jpg,9,682.0,576.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18,-7.63,0.0,0.0,0.0,0.0,0.0,0.0,26.82,0.89,-,0.0,,9
gt_07.jpg,1,939.0,704.0,39.0,17.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.76,-5.18,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.31,radial,17.11,14.0,2
gt_07.jpg,2,572.0,650.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,-2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,,9
gt_07.jpg,3,700.0,1526.0,41.0,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14,-3.99,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.44,radial,31.1,33.0,5
gt_07.jpg,4,1107.0,1045.0,39.0,27.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,-5.46,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.1,radial,27.06,23.0,3
gt_07.jpg,5,676.0,1069.0,40.0,29.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18,-4.51,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.08,radial,29.82,29.0,1
gt_07.jpg,6,269.0,1141.0,41.0,31.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,-5.01,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.22,radial,31.06,34.0,7
gt_07.jpg,7,305.0,869.0,40.0,27.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.23,radial,27.06,25.0,8
gt_07.jpg,8,934.0,1354.0,42.0,22.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41,-3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.33,radial,22.42,23.0,4
gt_08.jpg,1,563.0,1509.0,45.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,radial,13.9,35.0,5
gt_08.jpg,2,722.0,1037.0,49.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23,-9.84,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.7,radial,25.1,23.0,9
gt_08.jpg,3,387.0,562.0,49.0,17.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12,-7.64,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.49,radial,17.62,27.0,8
gt_08.jpg,4,237.0,1292.0,48.0,22.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.72,-22.04,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.54,radial,22.32,17.0,6
gt_08.jpg,5,1174.0,717.0,50.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39,-15.97,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.69,radial,26.3,20.0,2
gt_08.jpg,6,945.0,1438.0,48.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,-6.8,0.0,0.0,0.0,0.0,0.0,0.0,3.64,0.31,radial,13.4,23.0,4
gt_08.jpg,7,1205.0,1135.0,49.0,27.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,-22.08,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.47,radial,27.81,20.0,3
gt_08.jpg,8,242.0,860.0,49.0,18.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.65,-16.87,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.04,radial,18.89,19.0,7
gt_08.jpg,9,811.0,513.0,52.0,22.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44,-14.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,radial,22.46,20.0,1
gt_09.jpg,1,1122.0,986.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,-,0.0,,2
gt_09.jpg,2,707.0,1115.0,42.0,23.71,0.0,0.0,0.0,0.0,23.71,23.69,24.13,24.43,-1.0,-14.74,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.67,watershed,26.33,25.0,9
gt_09.jpg,3,833.0,1532.0,43.0,7.72,0.0,0.0,0.0,0.0,7.72,7.57,8.01,8.75,-2.13,-10.56,9.03,9.03,9.03,9.03,10.06,8.6,3.33,0.55,watershed,11.97,,4
