organism,agent_class,agent,disk_content_ug,zone_S_ge_mm,zone_R_lt_mm,zone_ATU,mic_S_le,mic_R_gt,pdf_page
Enterobacterales,,Benzylpenicillin,,-,-,1.,-,-,16
Enterobacterales,,Ampicillin iv1,10,14,14,,8,8,16
Enterobacterales,,Ampicillin oral (uncomplicated UTI only)1,10,14,14,2.,8,8,16
Enterobacterales,,Ampicillin-sulbactam iv1,10-10,14,14,,82,82,16
Enterobacterales,,Ampicillin-sulbactam oral (uncomplicated,10-10,14,14,,82,82,16
Enterobacterales,UTI only)1,Amoxicillin iv1,-,Note,Note,A.,8,8,16
Enterobacterales,UTI only)1,Amoxicillin oral (infections originating from the urinary tract)1,-,Note,Note,B.,0.001,8,16
Enterobacterales,UTI only)1,Amoxicillin oral (uncomplicated UTI only)1,-,Note,Note,,8,8,16
Enterobacterales,UTI only)1,Amoxicillin oral (other indications)1,-,Note,Note,E.,(0.001)3,(8)3,16
Enterobacterales,UTI only)1,Amoxicillin-clavulanic acid iv1,20-10,19,19,19-20,84,84,16
Enterobacterales,UTI only)1,Amoxicillin-clavulanic acid oral (infections originating from the urinary tract)1,20-10,50,19,19-20,0.0014,84,16
Enterobacterales,UTI only)1,Amoxicillin-clavulanic acid oral (uncomplicated UTI only)1,20-10,16,16,,324,324,16
Enterobacterales,UTI only)1,Amoxicillin-clavulanic acid oral (other indications)1,20-10,50,19,19-20,"(0.001)3,4","(8)3,4",16
Enterobacterales,UTI only)1,Piperacillin,30,20,20,,8,8,16
Enterobacterales,UTI only)1,Piperacillin-tazobactam,30-6,20,20,19,85,85,16
Enterobacterales,UTI only)1,Ticarcillin-clavulanic acid,75-10,23,20,,84,164,16
Enterobacterales,UTI only)1,"Temocillin (infections originating from the urinary tract), E. coli, Klebsiella spp. (except K. aerogenes ) and P. mirabilis",30,50,17,,0.001,16,16
Enterobacterales,UTI only)1,Phenoxymethylpenicillin,,-,-,,-,-,16
Enterobacterales,UTI only)1,Oxacillin,,-,-,,-,-,16
Enterobacterales,UTI only)1,Cloxacillin,,-,-,,-,-,16
Enterobacterales,UTI only)1,Dicloxacillin,,-,-,,-,-,16
Enterobacterales,UTI only)1,Flucloxacillin,,-,-,,-,-,16
Enterobacterales,UTI only)1,"Mecillinam oral (pivmecillinam) (uncomplicated UTI only), E. coli, Citrobacter spp., Klebsiella spp., Raoultella spp., Enterobacter spp. and P. mirabilis",10,15,15,,86,86,16
Enterobacterales,,Cefaclor (uncomplicated UTI only),,IE,IE,1.,IE,IE,17
Enterobacterales,,Cefadroxil (uncomplicated UTI only),30,12,12,,16,16,17
Enterobacterales,,Cefalexin (uncomplicated UTI only),30,14,14,,16,16,17
Enterobacterales,,Cefazolin (infections originating from the,30,50,20,,0.0012,42,17
Enterobacterales,(except K. aerogenes ),Cefepime,30,27,24,,1,4,17
Enterobacterales,(except K. aerogenes ),Cefepime-enmetazobactam,30-20,22,22,21-22,43,43,17
Enterobacterales,(except K. aerogenes ),Cefiderocol,30,23,23,21-23,24,24,17
Enterobacterales,(except K. aerogenes ),Cefixime (uncomplicated UTI only),5,17,17,5.,1,1,17
Enterobacterales,(except K. aerogenes ),Cefotaxime (indications other than meningitis),5,20,17,,1,2,17
Enterobacterales,(except K. aerogenes ),Cefotaxime (meningitis),5,20,20,,1,1,17
Enterobacterales,(except K. aerogenes ),Cefoxitin (screen only)5,30,19,19,7.,Note5,Note5,17
Enterobacterales,(except K. aerogenes ),Cefpodoxime (uncomplicated UTI only),10,21,21,8.,1,1,17
Enterobacterales,(except K. aerogenes ),Ceftaroline,5,23,23,22-23,0.5,0.5,17
Enterobacterales,(except K. aerogenes ),Ceftazidime,10,22,19,,1,4,17
Enterobacterales,(except K. aerogenes ),Ceftazidime-avibactam,10-4,13,13,,86,86,17
Enterobacterales,(except K. aerogenes ),Ceftibuten (infections originating from the urinary tract),30,23,23,,1,1,17
Enterobacterales,(except K. aerogenes ),Ceftobiprole,5,23,23,,0.25,0.25,17
Enterobacterales,(except K. aerogenes ),Ceftolozane-tazobactam7,30-10,22,22,19-21,28,28,17
Enterobacterales,(except K. aerogenes ),Ceftriaxone (indications other than meningitis),30,27,24,,1,2,17
Enterobacterales,(except K. aerogenes ),Ceftriaxone (meningitis),30,27,27,,1,1,17
Enterobacterales,(except K. aerogenes ),"Cefuroxime iv, E. coli , Klebsiella spp. (except K. aerogenes ), Raoultella spp. and P. mirabilis",30,50,19,,0.001,8,17
Enterobacterales,(except K. aerogenes ),"Cefuroxime oral (uncomplicated UTI only), E. coli, Klebsiella spp. (except K. aerogenes ), Raoultella spp. and P. mirabilis",30,19,19,,8,8,17
Enterobacterales,,Doripenem,10,24,21,1.,1,2,18
Enterobacterales,,Ertapenem,10,23,23,,0.5,0.5,18
Enterobacterales,,"Imipenem, Enterobacterales except Morganellaceae",10,22,19,,2,4,18
Enterobacterales,,"Imipenem2, Morganellaceae",10,50,19,,0.001,4,18
Enterobacterales,,"Imipenem-relebactam, Enterobacterales except Morganellaceae",10-25,22,22,20-22 3.,23,23,18
Enterobacterales,,Meropenem (indications other than meningitis),10,22,16,,2,8,18
Enterobacterales,,Meropenem (meningitis),10,22,22,,2,2,18
Enterobacterales,,Meropenem-vaborbactam,20-10,20,20,15-19A,84,84,18
Enterobacterales,,Aztreonam1,30,26,21,1.,1,4,18
Enterobacterales,,Aztreonam-avibactam,30-20,25,25,22-24,42,42,18
Enterobacterales,,"Ciprofloxacin, Salmonella spp.1",,Note,Note,1.,0.06,0.06,18
Enterobacterales,,Ciprofloxacin (indications other than meningitis),5,25,22,22-24,0.25,0.5,18
Enterobacterales,,Ciprofloxacin (meningitis)2,,Note,Note,,0.125,0.125,18
Enterobacterales,,Pefloxacin (screen only),5,24,24,,NA,NA,18
Enterobacterales,,"Delafloxacin, E. coli",,Note,Note,,0.125,0.125,18
Enterobacterales,,Levofloxacin,5,23,19,A.,0.5,1,18
Enterobacterales,,"Moxifloxacin, Enterobacterales except Morganella morganii, Proteus spp. and Serratia spp.3",5,22,22,,0.25,0.25,18
Enterobacterales,,Nalidixic acid (screen only),,NA,NA,D.,NA,NA,18
Enterobacterales,,Norfloxacin (uncomplicated UTI only),10,24,24,,0.5,0.5,18
Enterobacterales,,Ofloxacin,5,24,22,,0.25,0.5,18
Enterobacterales,,Amikacin (systemic infections),30,18,18,,(8)1,(8)1,19
Enterobacterales,,Amikacin (infections originating from the urinary tract),30,18,18,,8,8,19
Enterobacterales,,Gentamicin (systemic infections),10,17,17,,(2)1,(2)1,19
Enterobacterales,,Gentamicin (infections originating from the urinary tract),10,17,17,,2,2,19
Enterobacterales,,Netilmicin,,IE,IE,,IE,IE,19
Enterobacterales,,Tobramycin (systemic infections),10,16,16,,(2)1,(2)1,19
Enterobacterales,,Tobramycin (infections originating from the urinary tract),10,16,16,,2,2,19
Enterobacterales,,Dalbavancin,,-,-,,-,-,19
Enterobacterales,,Oritavancin,,-,-,,-,-,19
Enterobacterales,,Teicoplanin,,-,-,,-,-,19
Enterobacterales,,Telavancin,,-,-,,-,-,19
Enterobacterales,,Vancomycin,,-,-,,-,-,19
Enterobacterales,,Azithromycin1,,Note,Note,,Note1,Note1,19
Enterobacterales,,Clarithromycin,,-,-,,-,-,19
Enterobacterales,,Erythromycin,,-,-,,-,-,19
Enterobacterales,,Roxithromycin,,-,-,,-,-,19
Enterobacterales,,Clindamycin,,-,-,,-,-,19
Enterobacterales,,Quinupristin-dalfopristin,,-,-,,-,-,19
Enterobacterales,,Doxycycline,,-,-,1.,-,-,20
Enterobacterales,,"Eravacycline, E. coli",20,17,17,,0.5,0.5,20
Enterobacterales,,Minocycline,,-,-,,-,-,20
Enterobacterales,,Tetracycline1,,-,-,,-,-,20
Enterobacterales,,"Tigecycline, E. coli and C. koseri",15,18,18,,"0.52,3","0.52,3",20
Enterobacterales,,Linezolid,,-,-,,-,-,20
Enterobacterales,,Tedizolid,,-,-,,-,-,20
Enterobacterales,,Chloramphenicol,,Note,Note,,Note1,Note1,21
Enterobacterales,,Colistin2,,Note,Note,,(2)3,(2)3,21
Enterobacterales,,Daptomycin,,-,-,,-,-,21
Enterobacterales,,Fosfomycin iv (infections originating from,200C,24,24,,84,84,21
Enterobacterales,"the urinary tract), E. coli","Fosfomycin iv (other indications),",,Note,Note,,Note5,Note5,21
Enterobacterales,E. coli,"Fosfomycin iv, other Enterobacterales",,Note,Note,,Note6,Note6,21
Enterobacterales,E. coli,"Fosfomycin oral (uncomplicated UTI only), E. coli",200C,24,24,,84,84,21
Enterobacterales,E. coli,Fusidic acid,,-,-,in,-,-,21
Enterobacterales,E. coli,Lefamulin,,-,-,,-,-,21
Enterobacterales,E. coli,Metronidazole,,-,-,8.,-,-,21
Enterobacterales,E. coli,"Nitrofurantoin (uncomplicated UTI only),",100,11,11,,64,64,21
Enterobacterales,E. coli,"Nitroxoline (uncomplicated UTI only), E. coli",30,15,15,D.,16,16,21
Enterobacterales,E. coli,Rifampicin,,-,-,,-,-,21
Enterobacterales,E. coli,Spectinomycin,,-,-,,-,-,21
Enterobacterales,E. coli,"Trimethoprim (uncomplicated UTI only), E. coli and Klebsiella spp. (except K. aerogenes )",5,15,15,,2,2,21
Enterobacterales,E. coli,"Trimethoprim (uncomplicated UTI only), Proteus spp.",,Note,Note,,Note7,Note7,21
Enterobacterales,E. coli,"Trimethoprim-sulfamethoxazole8, Enterobacterales except Serratia spp.",1.25-23.75,15,15,,0.5,0.5,21
Enterobacterales,E. coli,"Trimethoprim-sulfamethoxazole8, Serratia spp.",1.25-23.75,50,15,,0.001,2,21
Pseudomonas spp.,,Benzylpenicillin,,-,-,1.,-,-,22
Pseudomonas spp.,,Ampicillin,,-,-,2.,-,-,22
Pseudomonas spp.,,Ampicillin-sulbactam,,-,-,,-,-,22
Pseudomonas spp.,,Amoxicillin,,-,-,,-,-,22
Pseudomonas spp.,,Amoxicillin-clavulanic acid,,-,-,,-,-,22
Pseudomonas spp.,,Piperacillin,30,50,18,18-19,0.001,16,22
Pseudomonas spp.,,Piperacillin-tazobactam,30-6,50,18,18-19,0.0011,161,22
Pseudomonas spp.,,Ticarcillin-clavulanic acid,75-10,50,18,,0.0012,162,22
Pseudomonas spp.,,Temocillin,,-,-,,-,-,22
Pseudomonas spp.,,Phenoxymethylpenicillin,,-,-,,-,-,22
Pseudomonas spp.,,Oxacillin,,-,-,,-,-,22
Pseudomonas spp.,,Cloxacillin,,-,-,,-,-,22
Pseudomonas spp.,,Dicloxacillin,,-,-,,-,-,22
Pseudomonas spp.,,Flucloxacillin,,-,-,,-,-,22
Pseudomonas spp.,,Mecillinam oral (pivmecillinam) (uncomplicated UTI only),,-,-,,-,-,22
Pseudomonas spp.,,Cefadroxil,,-,-,,-,-,23
Pseudomonas spp.,,Cefalexin,,-,-,2.,-,-,23
Pseudomonas spp.,,Cefazolin,,-,-,,-,-,23
Pseudomonas spp.,,Cefepime,30,50,21,19-23,0.001,8,23
Pseudomonas spp.,,Cefepime-enmetazobactam,,Note,Note,,Note1,Note1,23
Pseudomonas spp.,,"Cefiderocol, P. aeruginosa",30,22,22,20-21 5.,22,22,23
Pseudomonas spp.,,Cefixime,,-,-,,-,-,23
Pseudomonas spp.,,Cefotaxime,,-,-,,-,-,23
Pseudomonas spp.,,Cefoxitin,,-,-,,-,-,23
Pseudomonas spp.,,Cefpodoxime,,-,-,,-,-,23
Pseudomonas spp.,,Ceftaroline,,-,-,,-,-,23
Pseudomonas spp.,,Ceftazidime,10,50,17,,0.001,8,23
Pseudomonas spp.,,"Ceftazidime-avibactam, P. aeruginosa",10-4,17,17,16-17,83,83,23
Pseudomonas spp.,,Ceftibuten,,-,-,,-,-,23
Pseudomonas spp.,,Ceftobiprole,,IE,IE,,IE,IE,23
Pseudomonas spp.,,"Ceftolozane-tazobactam4, P. aeruginosa",30-10,23,23,,45,45,23
Pseudomonas spp.,,Ceftriaxone,,-,-,,-,-,23
Pseudomonas spp.,,Cefuroxime iv,,-,-,,-,-,23
Pseudomonas spp.,,Cefuroxime oral,,-,-,,-,-,23
Pseudomonas spp.,,Doripenem,10,50,22,1.,0.001,2,23
Pseudomonas spp.,,Ertapenem,,-,-,2.,-,-,23
Pseudomonas spp.,,Imipenem,10,50,20,,0.001,4,23
Pseudomonas spp.,,"Imipenem-relebactam, P. aeruginosa",10-25,22,22,,21,21,23
Pseudomonas spp.,,"Meropenem (indications other than meningitis), P. aeruginosa",10,20,14,,2,8,23
Pseudomonas spp.,,"Meropenem (indications other than meningitis), Pseudomonas other than P. aeruginosa",10,24,18,,2,8,23
Pseudomonas spp.,,"Meropenem (meningitis), P. aeruginosa",10,20,20,,2,2,23
Pseudomonas spp.,,"Meropenem-vaborbactam, P. aeruginosa",20-10,14,14,,82,82,23
Pseudomonas spp.,,Aztreonam-avibactam,,IE,IE,,IE,IE,24
Pseudomonas spp.,,Ciprofloxacin,5,50,26,,0.001,0.5,24
Pseudomonas spp.,,Delafloxacin,,IE,IE,,IE,IE,24
Pseudomonas spp.,,Levofloxacin,5,50,18,,0.001,2,24
Pseudomonas spp.,,Moxifloxacin,,-,-,,-,-,24
Pseudomonas spp.,,Nalidixic acid (screen only),,NA,NA,,NA,NA,24
Pseudomonas spp.,,Norfloxacin (uncomplicated UTI only),,-,-,,-,-,24
Pseudomonas spp.,,Ofloxacin,,-,-,,-,-,24
Pseudomonas spp.,,Amikacin (systemic infections),30,15,15,,(16)1,(16)1,24
Pseudomonas spp.,,Amikacin (infections originating from the urinary tract),30,15,15,,16,16,24
Pseudomonas spp.,,Gentamicin (systemic infections),,IE,IE,,IE,IE,24
Pseudomonas spp.,,Gentamicin (infections originating from the urinary tract),,IE,IE,,IE,IE,24
Pseudomonas spp.,,Netilmicin,,IE,IE,,IE,IE,24
Pseudomonas spp.,,Tobramycin (systemic infections),10,18,18,,(2)1,(2)1,24
Pseudomonas spp.,,Tobramycin (infections originating from the urinary tract),10,18,18,,2,2,24
Pseudomonas spp.,,Dalbavancin,,-,-,,-,-,24
Pseudomonas spp.,,Oritavancin,,-,-,,-,-,24
Pseudomonas spp.,,Teicoplanin,,-,-,,-,-,24
Pseudomonas spp.,,Telavancin,,-,-,,-,-,24
Pseudomonas spp.,,Vancomycin,,-,-,,-,-,24
Pseudomonas spp.,,Clarithromycin,,-,-,,-,-,25
Pseudomonas spp.,,Erythromycin,,-,-,,-,-,25
Pseudomonas spp.,,Roxithromycin,,-,-,,-,-,25
Pseudomonas spp.,,Clindamycin,,-,-,,-,-,25
Pseudomonas spp.,,Quinupristin-dalfopristin,,-,-,,-,-,25
Pseudomonas spp.,,Doxycycline,,-,-,,-,-,25
Pseudomonas spp.,,Eravacycline,,-,-,,-,-,25
Pseudomonas spp.,,Minocycline,,-,-,,-,-,25
Pseudomonas spp.,,Tetracycline,,-,-,,-,-,25
Pseudomonas spp.,,Tigecycline,,-,-,,-,-,25
Pseudomonas spp.,,Linezolid,,-,-,,-,-,25
Pseudomonas spp.,,Tedizolid,,-,-,,-,-,25
Pseudomonas spp.,,Colistin1,,Note,Note,,(4)2,(4)2,26
Pseudomonas spp.,,Daptomycin,,-,-,,-,-,26
Pseudomonas spp.,,Fosfomycin iv,,Note,Note,,Note3,Note3,26
Pseudomonas spp.,,Fosfomycin oral,,-,-,,-,-,26
Pseudomonas spp.,,Fusidic acid,,-,-,,-,-,26
Pseudomonas spp.,,Lefamulin,,-,-,A.,-,-,26
Pseudomonas spp.,,Metronidazole,,-,-,,-,-,26
Pseudomonas spp.,,Nitrofurantoin (uncomplicated UTI only),,-,-,,-,-,26
Pseudomonas spp.,,Nitroxoline (uncomplicated UTI only),,-,-,,-,-,26
Pseudomonas spp.,,Rifampicin,,-,-,,-,-,26
Pseudomonas spp.,,Spectinomycin,,-,-,,-,-,26
Pseudomonas spp.,,Trimethoprim (uncomplicated UTI only),,-,-,,-,-,26
Pseudomonas spp.,,Trimethoprim-sulfamethoxazole,,-,-,,-,-,26
Stenotrophomonas maltophilia,Inoculum: 5x105 CFU/mL,Ceftazidime,,-,-,1.,-,-,27
Stenotrophomonas maltophilia,Inoculum: 5x105 CFU/mL,Cefepime,,-,-,,-,-,27
Stenotrophomonas maltophilia,Inoculum: 5x105 CFU/mL,Cefiderocol1,30,Note,Note,,Note2,Note2,27
Stenotrophomonas maltophilia,Inoculum: 5x105 CFU/mL,Aztreonam,,-,-,,-,-,27
Stenotrophomonas maltophilia,Inoculum: 5x105 CFU/mL,Aztreonam-avibactam,,IE,IE,,IE1,IE1,27
Stenotrophomonas maltophilia,Inoculum: 5x105 CFU/mL,Ciprofloxacin,,Note,Note,1.,Note1,Note1,27
Stenotrophomonas maltophilia,Inoculum: 5x105 CFU/mL,Levofloxacin,,Note,Note,,Note1,Note1,27
Stenotrophomonas maltophilia,,Minocycline,,Note,Note,1.,"Note1,2","Note1,2",28
Stenotrophomonas maltophilia,,Tigecycline,,Note,Note,,Note1,Note1,28
Stenotrophomonas maltophilia,,Trimethoprim-sulfamethoxazole1,1.25-23.75,50,16,1.,0.001,2,28
Acinetobacter spp.,EUCAST QC Tables.,Benzylpenicillin,,-,-,1.,-,-,29
Acinetobacter spp.,EUCAST QC Tables.,Ampicillin,,-,-,,-,-,29
Acinetobacter spp.,EUCAST QC Tables.,Ampicillin-sulbactam,,IE,IE,,IE,IE,29
Acinetobacter spp.,EUCAST QC Tables.,Amoxicillin,,-,-,,-,-,29
Acinetobacter spp.,EUCAST QC Tables.,Amoxicillin-clavulanic acid,,-,-,,-,-,29
Acinetobacter spp.,EUCAST QC Tables.,Piperacillin,,IE,IE,,IE,IE,29
Acinetobacter spp.,EUCAST QC Tables.,Piperacillin-tazobactam,,IE,IE,,IE,IE,29
Acinetobacter spp.,EUCAST QC Tables.,Ticarcillin-clavulanic acid,,IE,IE,,IE,IE,29
Acinetobacter spp.,EUCAST QC Tables.,Temocillin,,-,-,,-,-,29
Acinetobacter spp.,EUCAST QC Tables.,Phenoxymethylpenicillin,,-,-,,-,-,29
Acinetobacter spp.,EUCAST QC Tables.,Oxacillin,,-,-,,-,-,29
Acinetobacter spp.,EUCAST QC Tables.,Cloxacillin,,-,-,,-,-,29
Acinetobacter spp.,EUCAST QC Tables.,Dicloxacillin,,-,-,,-,-,29
Acinetobacter spp.,EUCAST QC Tables.,Flucloxacillin,,-,-,,-,-,29
Acinetobacter spp.,EUCAST QC Tables.,Mecillinam oral (pivmecillinam) (uncomplicated UTI only),,-,-,,-,-,29
Acinetobacter spp.,,Cefadroxil,,-,-,,-,-,30
Acinetobacter spp.,,Cefalexin,,-,-,,-,-,30
Acinetobacter spp.,,Cefazolin,,-,-,,-,-,30
Acinetobacter spp.,,Cefepime,,-,-,,-,-,30
Acinetobacter spp.,,Cefepime-enmetazobactam,,-,-,,-,-,30
Acinetobacter spp.,,Cefiderocol1,30,Note,Note,,Note2,Note2,30
Acinetobacter spp.,,Cefixime,,-,-,,-,-,30
Acinetobacter spp.,,Cefotaxime,,-,-,,-,-,30
Acinetobacter spp.,,Cefoxitin,,-,-,,-,-,30
Acinetobacter spp.,,Cefpodoxime,,-,-,,-,-,30
Acinetobacter spp.,,Ceftaroline,,-,-,,-,-,30
Acinetobacter spp.,,Ceftazidime,,-,-,,-,-,30
Acinetobacter spp.,,Ceftazidime-avibactam,,-,-,,-,-,30
Acinetobacter spp.,,Ceftibuten,,-,-,,-,-,30
Acinetobacter spp.,,Ceftobiprole,,-,-,,-,-,30
Acinetobacter spp.,,Ceftolozane-tazobactam,,-,-,,-,-,30
Acinetobacter spp.,,Ceftriaxone,,-,-,,-,-,30
Acinetobacter spp.,,Cefuroxime iv,,-,-,,-,-,30
Acinetobacter spp.,,Cefuroxime oral,,-,-,,-,-,30
Acinetobacter spp.,,Doripenem,10,50,22,,0.001,2,30
Acinetobacter spp.,,Ertapenem,,-,-,,-,-,30
Acinetobacter spp.,,Imipenem,10,24,21,,2,4,30
Acinetobacter spp.,,Imipenem-relebactam1,,Note,Note,,Note1,Note1,30
Acinetobacter spp.,,Meropenem (indications other than meningitis),10,21,15,,2,8,30
Acinetobacter spp.,,Meropenem (meningitis),10,21,21,,2,2,30
Acinetobacter spp.,,Meropenem-vaborbactam1,,Note,Note,,Note1,Note1,30
Acinetobacter spp.,,Aztreonam,,-,-,,-,-,30
Acinetobacter spp.,,Aztreonam-avibactam,,-,-,,-,-,30
Acinetobacter spp.,,Delafloxacin,,IE,IE,,IE,IE,31
Acinetobacter spp.,,Levofloxacin,5,23,20,,0.5,1,31
Acinetobacter spp.,,Moxifloxacin,,-,-,,-,-,31
Acinetobacter spp.,,Nalidixic acid (screen only),,NA,NA,,NA,NA,31
Acinetobacter spp.,,Norfloxacin (uncomplicated UTI only),,-,-,,-,-,31
Acinetobacter spp.,,Ofloxacin,,-,-,,-,-,31
Acinetobacter spp.,,Amikacin (systemic infections),30,19,19,,(8)1,(8)1,31
Acinetobacter spp.,,Amikacin (infections originating from the urinary tract),30,19,19,,8,8,31
Acinetobacter spp.,,Gentamicin (systemic infections),10,17,17,,(4)1,(4)1,31
Acinetobacter spp.,,Gentamicin (infections originating from the urinary tract),10,17,17,,4,4,31
Acinetobacter spp.,,Netilmicin,,IE,IE,,IE,IE,31
Acinetobacter spp.,,Tobramycin (systemic infections),10,17,17,,(4)1,(4)1,31
Acinetobacter spp.,,Tobramycin (infections originating from the urinary tract),10,17,17,,4,4,31
Acinetobacter spp.,,Dalbavancin,,-,-,,-,-,31
Acinetobacter spp.,,Oritavancin,,-,-,,-,-,31
Acinetobacter spp.,,Teicoplanin,,-,-,,-,-,31
Acinetobacter spp.,,Telavancin,,-,-,,-,-,31
Acinetobacter spp.,,Vancomycin,,-,-,,-,-,31
Acinetobacter spp.,,Clarithromycin,,-,-,,-,-,32
Acinetobacter spp.,,Erythromycin,,-,-,,-,-,32
Acinetobacter spp.,,Roxithromycin,,-,-,,-,-,32
Acinetobacter spp.,,Clindamycin,,-,-,,-,-,32
Acinetobacter spp.,,Quinupristin-dalfopristin,,-,-,,-,-,32
Acinetobacter spp.,,Doxycycline,,-,-,1.,-,-,32
Acinetobacter spp.,,Eravacycline,,IE,IE,,IE,IE,32
Acinetobacter spp.,,Minocycline,,IE,IE,,IE1,IE1,32
Acinetobacter spp.,,Tetracycline,,-,-,,-,-,32
Acinetobacter spp.,,Tigecycline,,IE,IE,,IE,IE,32
Acinetobacter spp.,,Linezolid,,-,-,,-,-,32
Acinetobacter spp.,,Tedizolid,,-,-,,-,-,32
Acinetobacter spp.,,Chloramphenicol,,-,-,1.,-,-,32
Acinetobacter spp.,,Colistin1,,Note,Note,,(2)2,(2)2,32
Acinetobacter spp.,,Daptomycin,,-,-,,-,-,32
Acinetobacter spp.,,Fosfomycin iv,,Note,Note,,Note3,Note3,32
Acinetobacter spp.,,Fosfomycin oral,,-,-,,-,-,32
Acinetobacter spp.,,Fusidic acid,,-,-,,-,-,32
Acinetobacter spp.,,Lefamulin,,-,-,,-,-,32
Acinetobacter spp.,,Metronidazole,,-,-,A.,-,-,32
Acinetobacter spp.,,Nitrofurantoin (uncomplicated UTI only),,-,-,,-,-,32
Acinetobacter spp.,,Nitroxoline (uncomplicated UTI only),,-,-,,-,-,32
Acinetobacter spp.,,Rifampicin,,-,-,,-,-,32
Acinetobacter spp.,,Spectinomycin,,-,-,,-,-,32
Acinetobacter spp.,,Trimethoprim (uncomplicated UTI only),,-,-,,-,-,32
Acinetobacter spp.,,Trimethoprim-sulfamethoxazole4,1.25-23.75,16,16,,0.5,0.5,32
Staphylococcus spp.,,"Benzylpenicillin, S. lugdunensis",1 unit,26,26,,0.125,0.125,34
Staphylococcus spp.,,"Benzylpenicillin, other staphylococci",,Note,Note,,Note2,Note2,34
Staphylococcus spp.,,"Ampicillin, S. saprophyticus",2,18,18,,"Note2,3","Note2,3",34
Staphylococcus spp.,,Ampicillin-sulbactam,,Note,Note,,"Note1,2,3","Note1,2,3",34
Staphylococcus spp.,,Amoxicillin,,Note,Note,,"Note1,2,3","Note1,2,3",34
Staphylococcus spp.,,Amoxicillin-clavulanic acid,,Note,Note,,"Note1,2,3","Note1,2,3",34
Staphylococcus spp.,,Piperacillin,,Note,Note,,"Note1,2,3","Note1,2,3",34
Staphylococcus spp.,,Piperacillin-tazobactam,,Note,Note,,"Note1,2,3","Note1,2,3",34
Staphylococcus spp.,,Ticarcillin-clavulanic acid,,Note,Note,,"Note1,2","Note1,2",34
Staphylococcus spp.,,Temocillin,,-,-,,-,-,34
Staphylococcus spp.,,"Phenoxymethylpenicillin, S. aureus",,Note,Note,,Note1,Note1,34
Staphylococcus spp.,,"Phenoxymethylpenicillin, Coagulase-negative staphylococci",,Note,Note,to,-2,-2,34
Staphylococcus spp.,,"Oxacillin (screen only), S. pseudintermedius, S. intermedius, S. schleiferi and S. coagulans",1,20,20,,NA,NA,34
Staphylococcus spp.,,"Oxacillin4, other staphylococci",,Note,Note,,"Note1,4","Note1,4",34
Staphylococcus spp.,,Cloxacillin,,Note,Note,B.,"Note1,2","Note1,2",34
Staphylococcus spp.,,Dicloxacillin,,Note,Note,,"Note1,2","Note1,2",34
Staphylococcus spp.,,Flucloxacillin,,Note,Note,,"Note1,2","Note1,2",34
Staphylococcus spp.,,Mecillinam oral (pivmecillinam),,-,-,,-,-,34
Staphylococcus spp.,Cefaclor2,Cefadroxil,,Note,Note,,Note1,Note1,35
Staphylococcus spp.,Cefaclor2,Cefalexin,,Note,Note,,Note1,Note1,35
Staphylococcus spp.,Cefaclor2,Cefazolin2,,Note,Note,,Note1,Note1,35
Staphylococcus spp.,Cefaclor2,Cefepime2,,Note,Note,,Note1,Note1,35
Staphylococcus spp.,Cefaclor2,Cefepime-enmetazobactam3,,Note,Note,,Note1,Note1,35
Staphylococcus spp.,Cefaclor2,Cefiderocol,,-,-,2.,-,-,35
Staphylococcus spp.,Cefaclor2,Cefixime,,-,-,3.,-,-,35
Staphylococcus spp.,Cefaclor2,Cefotaxime2,,Note,Note,4.,Note1,Note1,35
Staphylococcus spp.,Cefaclor2,"Cefoxitin (screen only), S. aureus and coagulase-negative staphylococci except S. epidermidis and S. lugdunensis",30,22,22,,"Note4,5","Note4,5",35
Staphylococcus spp.,Cefaclor2,"Cefoxitin (screen only), S. epidermidis and S. lugdunensis",30,27,27,27,"Note4,5","Note4,5",35
Staphylococcus spp.,Cefaclor2,"Cefoxitin (screen only), S. pseudintermedius,",,Note,Note,,Note6,Note6,35
Staphylococcus spp.,Cefaclor2,Cefpodoxime,,Note,Note,,Note1,Note1,35
Staphylococcus spp.,Cefaclor2,Ceftaroline (indications other than,5,20,17,19-20,17,"27,8",35
Staphylococcus spp.,"pneumonia), S. aureus","Ceftaroline (pneumonia), S. aureus",5,20,20,19-20 B.,17,17,35
Staphylococcus spp.,"pneumonia), S. aureus",Ceftazidime,,-,-,,-,-,35
Staphylococcus spp.,"pneumonia), S. aureus",Ceftazidime-avibactam,,-,-,,-,-,35
Staphylococcus spp.,"pneumonia), S. aureus",Ceftibuten,,-,-,,-,-,35
Staphylococcus spp.,"pneumonia), S. aureus","Ceftobiprole, S. aureus",5,17,17,16-17,29,29,35
Staphylococcus spp.,"pneumonia), S. aureus",Ceftolozane-tazobactam,,-,-,,-,-,35
Staphylococcus spp.,"pneumonia), S. aureus",Ceftriaxone2,,Note,Note,,Note1,Note1,35
Staphylococcus spp.,"pneumonia), S. aureus",Cefuroxime iv2,,Note,Note,,Note1,Note1,35
Staphylococcus spp.,"pneumonia), S. aureus",Cefuroxime oral,,Note,Note,,Note1,Note1,35
Staphylococcus spp.,,Ertapenem,,Note,Note,2.,Note1,Note1,36
Staphylococcus spp.,,Imipenem,,Note,Note,,Note1,Note1,36
Staphylococcus spp.,,Imipenem-relebactam2,,Note,Note,,Note1,Note1,36
